Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,06-11-2014,349.290009,339.458008,352.966003,338.424011
BTC,07-11-2014,342.415009,349.817993,352.731995,341.776001
BTC,08-11-2014,345.488007,342.153992,347.032013,342.153992
BTC,09-11-2014,363.264008,345.376007,363.626007,344.255005
BTC,10-11-2014,366.924011,362.265015,374.81601,357.561005
BTC,11-11-2014,367.695007,365.856995,371.309998,363.734985
BTC,12-11-2014,423.561005,367.984985,429.717987,367.984985
BTC,13-11-2014,420.734985,427.27301,457.092987,401.122986
BTC,14-11-2014,397.817993,418.416992,419.252014,384.789001
BTC,15-11-2014,376.132996,399.649994,405.528015,371.007996
BTC,16-11-2014,387.881989,374.730011,390.799011,374.60199
BTC,17-11-2014,387.40799,388.348999,410.199005,377.502014
BTC,18-11-2014,375.197998,387.785004,392.402008,371.117004
BTC,19-11-2014,380.554993,373.895996,386.480988,373.895996
BTC,20-11-2014,357.839996,380.307007,382.024994,356.781006
BTC,21-11-2014,350.847992,357.878998,357.878998,344.112
BTC,22-11-2014,352.920013,351.604004,364.841003,350.877991
BTC,23-11-2014,367.572998,353.174988,370.845001,353.174988
BTC,24-11-2014,376.901001,366.947998,387.209015,366.669006
BTC,25-11-2014,375.347992,376.885986,394.700989,374.783997
BTC,26-11-2014,368.369995,376.019012,377.697998,365.81601
BTC,27-11-2014,369.670013,370.502014,373.992004,368.282013
BTC,28-11-2014,376.446991,369.373993,382.838013,358.454987
BTC,29-11-2014,375.490997,376.152008,387.601013,372.144989
BTC,30-11-2014,378.046997,375.51001,382.527008,373.30899
BTC,01-12-2014,379.244995,378.248993,383.661987,376.669006
BTC,02-12-2014,381.315002,379.25,384.037994,377.863007
BTC,03-12-2014,375.01001,381.721985,383.026001,374.346008
BTC,04-12-2014,369.604004,375.717987,378.654999,367.759003
BTC,05-12-2014,376.854004,369.441986,379.191986,365.756012
BTC,06-12-2014,374.785004,376.756989,378.447998,370.945007
